,主催者,共催・協力,タイトル,サブタイトル,内容,サブイベント,学ぶ,ふれる・感じる,体を動かす,奏でる,乗る,見る,作る・描く,収穫・採集する,その他,"集合
場所",建物,住所,緯度,経度,所要時間,開始日,終了日,開始時間,終了時間,スケジュール備考,開始時間,終了時間,スケジュール備考,就学前,小学生低学年,小学生中学年,小学校高学年,中学生,高校生以上,対象者備考,募集人数,事前登録,申し込み方法,"申込
締切","申込み・問合せ先
",料金種別,金額,料金備考,問合せ先部署名,郵便番号,住所,電話番号,FAX番号,内線,email,ウエブサイトURL,説明
CAO010,内閣府,,すごい！楽しい！サイエンス、イノベーション,,"①あつまれキッズサイエンティスト 
　•身近なもので電池つくり
　•おりがみサイエンス
②楽しもう！日本のイノベーション
　•ImPACTブース
　•先端技術ブース
③Ｓｏｃｉｅｔｙ５．０コーナー",,,1,,,,1,,,,合同庁舎8号館1階講堂,中央合同庁舎8号館,東京都千代田区永田町1-6-1,35.672816,139.74537,,2017-08-02,2017-08-03,11:00,16:00,,,,,,1,1,1,1,,,,不要,,,"担当部署：内閣府大臣官房政策評価広報課
郵便番号：100-8914
住所：東京都千代田区永田町1-6-1中央合同庁舎第8号館
代表電話：03-5253-2111
直通電話：
03-6257-1297（広報課代表）
03-6257-1383（報道室代表）
web：http://www.cao.go.jp/",無料,,,内閣府大臣官房政策評価広報課,100-8914,東京都千代田区永田町1-6-1中央合同庁舎第8号館,03-5253-2111,,,,http://www.cao.go.jp/,"03-6257-1297（広報課代表）
03-6257-1383（報道室代表）"
QNC001,宮内庁,,皇室のご活動と宮内庁の仕事,,・天皇皇后両陛下のご活動などのDVDを視聴し，皇居内の施設見学などを実施します。,,1,1,,,,1,1,,,窓明館前,窓明館,東京都千代田区千代田1-1,35.6838277,139.7516262,150分,2017-08-02,2017-08-03,13:30,16:00,,,,,,1,1,1,1,,,各日20名程度,必要,「往復はがき（締切日必着」,7/11/17,"担当部署：宮内庁長官官房総務課報道室広報係
郵便番号：100-8111
住所：東京都千代田区千代田1-1
代表番号：03-3213-1111（内線3269）
ホームページ：http://www.kunaicho.go.jp/
※往復はがきでの申込み（申込締切日必着）",無料,,,宮内庁長官官房総務課報道室広報係,100-8111,東京都千代田区千代田1-1,03-3213-1111,,3269,,http://www.kunaicho.go.jp/,※往復はがきでの申込み（申込締切日必着）
JFTC001,公正取引委員会,,公正取引委員会の仕事ってなあに？,,"①パネル展示ブース
・私たちの暮らしと独占禁止法の関わりについて紹介
②キッズ向け動画等の上映
③記念スタンプの押印",,1,,,,,1,,,,公正取引委員会1階日比谷公園側ロビー,中央合同庁舎6号館B棟,東京都千代田区霞が関1-1-1,35.674988,139.754869,,2017-08-02,2017-08-03,10:00,16:00,,,,,1,1,1,1,1,1,,,不要,,,"担当部署：公正取引委員会事務総局
　　　　　　 官房総務課消費者教育係
               こども霞が関見学デー担当
郵便番号：100-8987
住所：東京都千代田区霞が関1－1－1
代表電話：03-3581-5471（内線2325）
直通電話：03-3581-3649
メール：kodomokengaku○jftc.go.jp
（迷惑メール等防止のため，アドレス中の「@」を「○」としております。電子メールを送信される際は，「@」に置き換えて利用してください。）
FAX：03-3581-1963",無料,,,公正取引委員会事務総局官房総務課消費者教育係こども霞が関見学デー担当,100-8987,東京都千代田区霞が関1－1－1,03-3581-5471,03-3581-1963,2325,,,"直通電話：03-3581-3649
メール：kodomokengaku○jftc.go.jp
（迷惑メール等防止のため，アドレス中の「@」を「○」としております。電子メールを送信される際は，「@」に置き換えて利用してください。）"
JFTC002,公正取引委員会,,公正取引委員会の仕事ってなあに？,,"①シミュレーションゲームを通じて，独占禁止法や公正取引委員会の役割について勉強してみよう！
②庁舎見学をしながら公正取引委員会の仕事について学んでみよう！
③公正取引委員会の委員とお話してみよう！",,1,,,,,1,,,,公正取引委員会1階日比谷公園側ロビー,中央合同庁舎6号館B棟,東京都千代田区霞が関1-1-1,35.674988,139.754869,,2017-08-02,2017-08-02,10:30,12:00,,,,,,,,1,1,,,20名程度（保護者含む）,必要,"往復はがき（締切日必着）、FAX，メール
・ＦＡＸ及び電子メールの件名は，「こども見学デー申込み」としてください。",7/12/17,"担当部署：公正取引委員会事務総局
　　　　　　 官房総務課消費者教育係
               こども霞が関見学デー担当
郵便番号：100-8987
住所：東京都千代田区霞が関1－1－1
代表電話：03-3581-5471（内線2325）
直通電話：03-3581-3649
メール：kodomokengaku○jftc.go.jp
（迷惑メール等防止のため，アドレス中の「@」を「○」としております。電子メールを送信される際は，「@」に置き換えて利用してください。）
FAX：03-3581-1963",無料,,,公正取引委員会事務総局官房総務課消費者教育係こども霞が関見学デー担当,100-8987,東京都千代田区霞が関1－1－1,03-3581-5471,03-3581-1963,2325,,,"直通電話：03-3581-3649
メール：kodomokengaku○jftc.go.jp
（迷惑メール等防止のため，アドレス中の「@」を「○」としております。電子メールを送信される際は，「@」に置き換えて利用してください。）"
NPA001,警察庁,,けいさつの仕事を知ろう！,,警察業務の説明や大臣とのおはなし等を通じて警察の仕事を紹介します。,,1,1,,,1,1,,,,中央合同庁舎第2号館２階警察庁入り口前口ビー,中央合同庁舎2号館,東京都千代田区霞が関2-1-2,35.675804,139.751556,150分,2017-08-02,2017-08-02,13:30,16:00,,,,,,,1,1,,,原則、保護者同伴,20名程度,必要,郵送（官製はがき）　　※往復はがきの必要はありません。,7月3日（月）,"担当部署：警察庁長官官房総務課広報室
郵便番号：100-8974
住所：東京都千代田区霞が関2-1-2
代表電話：03-3581-0141　内線（2168）　
web:https://www.npa.go.jp/　　　　　　　　　　　",無料,,,警察庁長官官房総務課広報室,100-8974,東京都千代田区霞が関2-1-2,03-3581-0141,,2168,,https://www.npa.go.jp/　　,
PPC001,個人情報保護委員会,,マイナンバーのクイズにこたえよう！,,"マイナンバー・個人情報保護法に関するクイズを用意しています。
マイナンバーや個人情報保護法を理解して、個人情報保護委員会が何をしている団体か知りましょう。",,1,,,,,1,,,,霞が関コモンゲート西館34F,霞が関コモンゲート西館,東京都千代田区霞が関3-2-1,35.671611,139.748043,30分,2017-08-02,2017-08-03,10:00,16:00,,,,,,,1,1,1,1,,,不要,,,"担当部署：個人情報保護委員会総務課　子供霞が関見学デー担当
郵便番号：100-0013
住所：東京都千代田区霞が関3-2-1　霞が関コモンゲート西館34階
代表電話：03-6457-9680
web：https://www.ppc.go.jp/",無料,,,個人情報保護委員会総務課　子供霞が関見学デー担当,100-0013,東京都千代田区霞が関3-2-1　霞が関コモンゲート西館34階,03-6457-9680,,,,https://www.ppc.go.jp/,
PPC002,個人情報保護委員会,,マイナンバーについて学ぼう！,広報用の動画（15分）をたのしもう！,マイナンバー・個人情報保護法に関する広報用動画及びパンフレットを展示しています。,,1,,,,,1,,,,霞が関コモンゲート西館34F,霞が関コモンゲート西館,東京都千代田区霞が関3-2-1,35.671611,139.748043,30分,2017-08-02,2017-08-03,10:00,16:00,,,,,,,,,,1,主に保護者向けコンテンツ,,不要,,,"担当部署：個人情報保護委員会総務課　子供霞が関見学デー担当
郵便番号：100-0013
住所：東京都千代田区霞が関3-2-1　霞が関コモンゲート西館34階
代表電話：03-6457-9680
web：https://www.ppc.go.jp/",無料,,,個人情報保護委員会総務課　子供霞が関見学デー担当,100-0013,東京都千代田区霞が関3-2-1　霞が関コモンゲート西館34階,03-6457-9680,,,,https://www.ppc.go.jp/,
PPC003,個人情報保護委員会,,マイナンバーボウリング,,ボウリングで体を動かし、マイナンバーのことを楽しみながら学べます。,,1,,1,,,,,,,霞が関コモンゲート西館34F,霞が関コモンゲート西館,東京都千代田区霞が関3-2-1,35.671611,139.748043,30分,2017-08-02,2017-08-03,10:00,16:00,,,,,,1,1,1,1,,,,不要,,,"担当部署：個人情報保護委員会総務課　子供霞が関見学デー担当
郵便番号：100-0013
住所：東京都千代田区霞が関3-2-1　霞が関コモンゲート西館34階
代表電話：03-6457-9680
web：https://www.ppc.go.jp/",無料,,,個人情報保護委員会総務課　子供霞が関見学デー担当,100-0013,東京都千代田区霞が関3-2-1　霞が関コモンゲート西館34階,03-6457-9680,,,,https://www.ppc.go.jp/,
PPC004,個人情報保護委員会,,マイナちゃんのお面をつくろう！,,マイナンバーキャラクターのマイナちゃんの顔に好きな色を塗ってオリジナルのマイナちゃんのお面を作れます。,,,,,,,,1,,,霞が関コモンゲート西館34F,霞が関コモンゲート西館,東京都千代田区霞が関3-2-1,35.671611,139.748043,30分,2017-08-02,2017-08-03,10:00,16:00,,,,,1,1,1,1,,,,,不要,,,"担当部署：個人情報保護委員会総務課　子供霞が関見学デー担当
郵便番号：100-0013
住所：東京都千代田区霞が関3-2-1　霞が関コモンゲート西館34階
代表電話：03-6457-9680
web：https://www.ppc.go.jp/",無料,,,個人情報保護委員会総務課　子供霞が関見学デー担当,100-0013,東京都千代田区霞が関3-2-1　霞が関コモンゲート西館34階,03-6457-9680,,,,https://www.ppc.go.jp/,
FSA001,金融庁,,金融庁へGO！,,"・一億円、持てるかな？
・資料展示・記念スタンプ設置",,1,1,,,,,,,,金融庁エントランス　広報コーナー,中央合同庁舎第７号館,東京都千代田区霞が関3-2-1,35.67192,139.748269,,2017-08-02,2017-08-03,10:00,16:00,,,,,1,1,1,1,1,1,,,不要,,,"担当部署：金融庁総務企画局政策課広報室
郵便番号：100－8967
住所：東京都千代田区霞が関3-2-1中央合同庁舎第7号館
代表電話：03－3506－6000（内線3125）
web：http://www.fsa.go.jp/",無料,,,金融庁総務企画局政策課広報室,100-8967,東京都千代田区霞が関3-2-1中央合同庁舎第7号館,03-3506-6000,,3125,,http://www.fsa.go.jp/,
FSA002,金融庁,,金融庁へGO！,,"・金融庁ってこんなところ
・金融ってなぁ～に？
・大臣室をのぞいてみよう！
（※都合により内容が変更となる場合がございます。）",,1,1,,,,,,,,"金融庁
16階会見室",中央合同庁舎第７号館,東京都千代田区霞が関3-2-1,35.67192,139.748269,120分程度,2017-08-02,2017-08-03,13:00,15:00,,,,,,1,1,1,1,,"小学生・中学生
（保護者・引率者同伴）","各日20名程度
（保護者・引率者を除く）",必要,往復はがき（締切日必着）,7/14/17,"担当部署：金融庁総務企画局政策課広報室
郵便番号：100－8967
住所：東京都千代田区霞が関3-2-1中央合同庁舎第7号館
代表電話：03－3506－6000（内線3125）
web：http://www.fsa.go.jp/",無料,,,金融庁総務企画局政策課広報室,100-8967,東京都千代田区霞が関3-2-1中央合同庁舎第7号館,03-3506-6000,,3125,,http://www.fsa.go.jp/,
CAA001,消費者庁,国民生活センター,身近な危険を学ぼう！,,"普段目にしたことのない機械を使って、身近なものの温度を測ってみよう。
電子レンジ、冷蔵庫、ゲーム機…家の中にあるものの温度は、いったい何℃なのかな？
なかには、意外にもやけどしそうなものもあるよ。
くらしの中の意外な危険を、実験やクイズで楽しく学ぼう。",,1,1,1,,,1,,,,中央合同庁舎第4号館6階6-1会議室,中央合同庁舎第4号館,東京都千代田区霞が関3-1-1 ,35.672943,139.748007,40分,2017-08-02,2017-08-02,10:00,12:00,"①10：00～10：40
②11：20～12：00",,,,,1,1,,,,,"各回20名
（保護者・引率者を除く）",必要,往復はがき（締切日必着）,7/14/17,"担当部署：消費者庁総務課広報室
郵便番号：100－8958
住所：東京都千代田区霞が関3-1-1 中央合同庁舎第4号館6階
代表電話：03－3507－8800
直通電話：03－3507－9255
web：http://www.caa.go.jp/info/pr/index.html#children",無料,,,消費者庁総務課広報室,100-8958,東京都千代田区霞が関3-1-1 中央合同庁舎第4号館6階,03-3507-8800,,,,http://www.caa.go.jp/info/pr/index.html#children,直通電話：03－3507－9255
CAA002,消費者庁,食品安全委員会,食品と生活の安全について学ぼう！,,"①ゲームで学ぶノロウイルス感染症予防
ノロウイルスとは何か、どうしたら感染を防ぐことができるのかを、ゲームを使って学びましょう。みんなで力を合わせて、「トロトロウイルス」に感染してしまったヒツジを助けてくださいね。
②みんなで危険を安全に！
ミニセミナーに参加して、身の回りに潜む危険を知り、事故を防ぐためにはどうすればよいかを考えましょう。
③考えてみよう～食品や生活の安全
ワークショップを通して、食品や生活のリスクについて、考えてみましょう。みんなには、なにができるかな？
",,1,,,,,,,,,中央合同庁舎第4号館6階6-1会議室,中央合同庁舎第4号館,東京都千代田区霞が関3-1-1 ,35.672943,139.748007,60分,2017-08-03,2017-08-03,11:00,12:00,,,,,,1,1,1,1,,,20名（保護者・引率者を除く）,必要,往復はがき（締切日必着）,7/14/17,"担当部署：消費者庁総務課広報室
郵便番号：100－8958
住所：東京都千代田区霞が関3-1-1 中央合同庁舎第4号館6階
代表電話：03－3507－8800
直通電話：03－3507－9255
web：http://www.caa.go.jp/info/pr/index.html#children",無料,,,消費者庁総務課広報室,100-8958,東京都千代田区霞が関3-1-1 中央合同庁舎第4号館6階,03-3507-8800,,,,http://www.caa.go.jp/info/pr/index.html#children,直通電話：03－3507－9255
CAA003,消費者庁,,新しい洗濯表示記号を覚えよう！,,"①新しくなった洗濯表示記号を映像を見ながら説明します。お手伝いが楽しくなるよ！
②表示に合わせて「手洗い」、「漂白」、「アイロンがけ」をする様子を見てみましょう。
③洗濯物の干し方やたたみ方を実際に体験しましょう。",,1,1,1,,,1,,,,中央合同庁舎第4号館6階6-1会議室,中央合同庁舎第4号館,東京都千代田区霞が関3-1-1 ,35.672943,139.748007,45分,2017-08-03,2017-08-03,13:30,14:15,,,,,,,1,1,1,1,,16名（保護者・引率者を除く）,必要,往復はがき（締切日必着）,7/14/17,"担当部署：消費者庁総務課広報室
郵便番号：100－8958
住所：東京都千代田区霞が関3-1-1 中央合同庁舎第4号館6階
代表電話：03－3507－8800
直通電話：03－3507－9255
web：http://www.caa.go.jp/info/pr/index.html#children",無料,,,消費者庁総務課広報室,100-8958,東京都千代田区霞が関3-1-1 中央合同庁舎第4号館6階,03-3507-8800,,,,http://www.caa.go.jp/info/pr/index.html#children,直通電話：03－3507－9255
CAA004,消費者庁,,世界を変える“スーパー”ヒーローになる方法,～Ｂｅ ｔｈｅ　Ｃｈａｎｇｅ～自分にも、世界にもいいお買い物の仕方を発見しよう！,お買い物には世界を変える力があることを知ってる！？お買い物の仕方を少し工夫するだけで、世界で起こっている色んな問題の解決に協力することができるんだ！近未来のスーパーに見立てた会場をチームで探索しながら、買うことを通じた社会貢献の方法を発見しよう！会場でご紹介した「エシカル」商品の一部は最後にプレゼントするよ♪,,1,1,,,,,1,,1,中央合同庁舎第4号館7階7-1会議室,中央合同庁舎第4号館,東京都千代田区霞が関3-1-1,35.672943,139.748007,60分,2017-08-03,2017-08-03,15:00,16:00,,,,,,,1,1,1,,,20名（保護者・引率者を除く）,必要,往復はがき（締切日必着）,7/14/17,"担当部署：消費者庁総務課広報室
郵便番号：100－8958
住所：東京都千代田区霞が関3-1-1 中央合同庁舎第4号館6階
代表電話：03－3507－8800
直通電話：03－3507－9255
直通電話：03－3507－9149（内容について消費者教育・地方協力課）
web：http://www.caa.go.jp/info/pr/index.html#children",無料,,,消費者庁総務課広報室,100-8958,東京都千代田区霞が関3-1-1 中央合同庁舎第4号館6階,03-3507-8800,,,,http://www.caa.go.jp/info/pr/index.html#children,直通電話：03－3507－9255
RA001,復興庁,,「復興庁の仕事ってなぁ～に？」,,"・被災地の現状、取り組みを学ぼう。
・「ルナウェア」で遊んで、復興の「今」を知ろう。
被災地のために働く方々と話をしながら復興を学ぼう。
・復興庁内の見学",,1,1,,,,,1,,,"復興庁記者会見室
",中央合同庁舎第４号館,東京都千代田区霞が関3-1-1,35.673104,139.748035,,2017-08-02,2017-08-03,13:00,15:00,,,,,,1,1,1,1,,,各40名程度（引率者、保護者を除く）,必要,"往復はがき（締切日必着）、電子メール
※電子メールの件名は、「子ども見学デー申込み」としてください。
",7/19/17,"担当部署：復興庁広報班
郵便番号：100-0013
住所：東京都千代田区霞が関3-1-1中央合同庁舎第4号館
代表番号：03-6328-1111
直通番号：03-6328-0258
メール：koho.fukkocho@cas.go.jp",無料,,,復興庁広報班,100-0013,東京都千代田区霞が関3-1-1中央合同庁舎第4号館,03-6328-1111,,,,koho.fukkocho@cas.go.jp,直通番号：03-6328-0258
MIC001,総務省,,熊本地震の今,,・熊本地震の当時の状況や復興状況についての資料を展示します。,,1,,,,,,,,,"《受付》
中央合同庁舎2号館１Fロビー",中央合同庁舎2号館,東京都千代田区霞が関2-1-2,35.67553,139.751833,,2017-08-02,2017-08-03,10:00,16:00,,,,,1,1,1,1,1,,,,不要,,,"担当部署：総務省大臣官房政策評価広報課広報室
郵便番号：100-8926
住所：東京都千代田区霞が関2-1-2
代表電話：03-5253-5111
直通電話：03-5253-5171
web：http://www.soumu.go.jp
",無料,,,総務省大臣官房政策評価広報課広報室,100-8926,東京都千代田区霞が関2-1-2,03-5253-5111,,,,http://www.soumu.go.jp,直通電話：03-5253-5171
